,ID,Depth,Diameter,Volume,Ridge Height,Depth,Diameter,Volume,Ridge Height,,Camera Error,,,,,Totol Error,,,
0,2023_08_07_50mTorr_h10_1s_032gs_crater8,4.395225357,76.17883195,1462.413723,-2.612178122,0.152775634,0.481517927,116.4275126,0.152775634,,0.7,1.4,55.62804103,0.7,,0.71647777,1.480492997,129.034277,0.71647777
1,2023_08_07_50mTorr_h10_1s_860gs_crater16,30.71447714,206.4724124,424702.9276,2.558727013,0.031069195,0.85191099,1356.431271,0.031069195,,0.7,1.4,92.74146707,0.7,,0.700689157,1.638826511,1359.598019,0.700689157
2,2023_08_07_50mTorr_h10_1s_860gs_crater2,30.85865242,215.8470122,410472.7979,2.475533465,0.03007896,0.83249186,1207.874811,0.03007896,,0.7,1.4,82.19857009,0.7,,0.700645948,1.628816349,1210.668478,0.700645948
3,"2023_08_07_50mTorr_h3,3_1s_032gs_crater12",13.65484256,65.9266134,16320.53287,-2.114691739,0.248892266,0.725220652,501.8621705,0.248892266,,0.7,1.4,77.18218305,0.7,,0.742931599,1.576687982,507.7624716,0.742931599
4,"2023_08_07_50mTorr_h3,3_1s_860gs_crater6",32.16529028,251.6991801,654436.7258,-0.663285586,0.038273138,0.779887801,1175.508664,0.038273138,,0.7,1.4,76.74633656,0.7,,0.701045529,1.602568245,1178.011298,0.701045529
5,2023_08_07_6Torr_h10_1s_032_crater10,10.88540883,80.06917243,19555.40915,-0.507891341,0.024927942,0.845400708,152.9171907,0.024927942,,0.7,1.4,29.50060079,0.7,,0.700443718,1.635451729,155.7368057,0.700443718
6,2023_08_07_6Torr_h10_1s_860gs_crater1,29.45598361,242.4144894,364371.8495,-4.806024435,0.012176425,0.802881998,356.5366914,0.012176425,,0.7,1.4,25.4185045,0.7,,0.700105896,1.613883361,357.4416214,0.700105896
7,2023_08_07_6Torr_h10_1s_860gs_crater18,24.5987987,254.0170619,538529.6053,1.169655225,0.002645619,0.942317669,300.5803539,0.002645619,,0.7,1.4,25.66055159,0.7,,0.700004999,1.687590765,301.6736864,0.700004999
8,"2023_08_07_6Torr_h3,3_1s_032gs_crater14",10.69896611,93.72913542,25704.23043,-0.395015878,0.013065402,0.839185938,91.83013327,0.013065402,,0.7,1.4,18.02447805,0.7,,0.700121921,1.632247848,93.58234441,0.700121921
9,"2023_08_07_6Torr_h3,3_1s_860gs_crater4",22.70711781,239.5348831,230363.7093,-5.108583724,0.004705701,0.941711855,333.0638987,0.004705701,,0.7,1.4,30.80242033,0.7,,0.700015817,1.687252565,334.485201,0.700015817
