File,Depth,Diameter,Volume,Ridge Height,Depth Error,Diameter Error,Volume Error,Ridge Height Error
2022_10_25_50mTorr_h10_860gs,30.51728577,206.0641989,358378.82,1.670409245,0.028918675,0.853281664,1291.371663,0.028918675
2022_10_25_6Torr_h15_860gs,26.25659508,258.0576097,489362.8971,-1.268249554,0.005019123,0.903088822,311.1673258,0.005019123
2022_10_31_50mTorr_h10_860gs,29.57520498,204.1852369,339658.1509,0.875549912,0.022555145,0.871821936,1132.141276,0.022555145
2022_10_31_50mTorr_h3_860gs,32.01556252,268.7146104,737218.5186,-0.29659488,0.03655273,0.780299602,1119.410979,0.03655273
2022_11_01_50mTorr_h10_032gs,3.070155387,69.07845373,1855.499843,-2.149632773,0.141909385,0.480445985,106.7207204,0.141909385
2022_11_01_50mTorr_h15_860gs,32.87553434,213.0702175,395442.6792,1.978188497,0.04871913,0.812421505,1729.481588,0.04871913
2022_11_01_50mTorr_h3_032gs,12.55839309,78.38774639,23241.94622,-0.781181559,0.078516341,0.818711295,323.9583887,0.078516341
2022_11_01_6Torr_h10_860gs,24.98699853,226.0472795,410378.0532,-8.376907098,0.002124936,0.942441991,245.0670385,0.002124936
2023_03_09_50mTorr_h10_860gs_crater1,29.26259125,203.3782298,329527.9358,2.491275909,0.021354285,0.878135136,1081.904052,0.021354285
2023_03_10_6Torr_h10_860gs_crater2,24.10186258,229.1474575,407435.2478,-5.582722259,0.003111996,0.942158525,271.8028464,0.003111996
2023_03_10_6Torr_h10_860gs_crater3,25.62749451,222.3685991,397424.1725,-7.568315476,0.004941207,0.932978953,366.8699303,0.004941207
2023_03_10_6Torr_h10_860gs_crater4,27.10396862,240.8024549,450350.0769,-1.817035414,0.006914769,0.876548559,323.1836219,0.006914769
2023_03_13_6Torr_h10_860gs_crater5,23.55984271,236.0453726,409822.21,-2.645508635,0.003751279,0.941984942,305.5585987,0.003751279
2023_03_14_50mTorr_h15_860gs_crater8,31.52335968,207.2499339,385260.5991,1.911071282,0.037500883,0.838090707,1496.554824,0.037500883
2023_03_14_50mTorr_h15_860gs_crater9,31.95691213,208.247425,389398.2175,1.735114583,0.040878035,0.829860302,1564.296876,0.040878035
2023_03_14_6Torr_h10_860gs_crater6,26.05201392,228.8211736,412850.1075,-4.555254207,0.006918422,0.926574099,480.5219754,0.006918422
2023_03_14_6Torr_h10_860gs_crater7,23.13833579,247.9336141,437415.4274,-1.268153833,0.004238598,0.941849953,326.9077195,0.004238598
2023_03_15_6Torr_h3_860gs_crater10,19.58733909,234.1349374,315323.116,-4.021077817,0.007966089,0.928637633,368.4684499,0.007966089
2023_03_15_6Torr_h3_860gs_crater11,22.93547653,251.9090178,416852.1507,-5.148416763,0.004459864,0.941784987,330.5646078,0.004459864
2023_08_07_50mTorr_h10_032gs_crater8,4.395225525,76.17883195,3334.476028,-2.612178291,0.152775634,0.481517927,116.4275126,0.152775634
2023_08_07_50mTorr_h10_860gs_crater16,30.71447703,206.4724124,350138.8228,2.558727151,0.031069194,0.85191099,1356.431231,0.031069194
2023_08_07_50mTorr_h10_860gs_crater2,30.85865331,215.8470122,336836.0823,2.475532603,0.03007897,0.832491858,1207.875146,0.03007897
2023_08_07_50mTorr_h3_032gs_crater12,13.65484271,65.9266134,19382.09641,-2.114691875,0.248892248,0.725220662,501.8621714,0.248892248
2023_08_07_50mTorr_h3_860gs_crater6,32.16529007,251.6991801,671859.3728,-0.663285401,0.038273136,0.779887801,1175.508583,0.038273136
2023_08_07_6Torr_h10_032_crater10,10.88540869,80.06917243,20819.28049,-0.507891168,0.024927939,0.845400709,152.9171773,0.024927939
2023_08_07_6Torr_h10_860gs_crater1,29.45598526,242.4144894,510213.0085,-4.806026075,0.012176428,0.802881946,356.5367148,0.012176428
2023_08_07_6Torr_h10_860gs_crater18,24.59879843,254.0170619,500919.1684,1.169655516,0.002645619,0.942317669,300.5803587,0.002645619
2023_08_07_6Torr_h3_032gs_crater14,10.69896576,93.72913542,27015.22719,-0.395015535,0.013065403,0.839185941,91.83013621,0.013065403
2023_08_07_6Torr_h3_860gs_crater4,22.70711694,239.5348831,381223.0462,-5.108582915,0.004705702,0.941711855,333.0639144,0.004705702
