File,Depth (mm),Diameter (mm),Volume (mm^3),Ridge Height (mm),Depth Error (mm),Diameter Error (mm),Volume Error (mm^3),Ridge Height Error (mm),ID,Date,Chamber Pressure (Torr),Nozzle Height (h/D),Flow Rate (g/s),Folder_Index
2022_10_25_50mTorr_h10_860gs.txt,30.51728577,208.9921177,358378.82,1.628968637,0.700563459,1.636455259,24691.84642,0.700563459,,2022_10_25,0.05,10,8.6,1
2022_10_25_6Torr_h15_860gs.txt,26.25659508,264.5346118,497269.2883,0.199781314,0.700017994,1.666004027,39772.76806,0.700017994,,2022_10_25,6,15,8.6,2
2022_10_31_50mTorr_h10_860gs.txt,29.57520498,209.4959207,339658.1509,2.198690934,0.700316602,1.643593525,24139.02066,0.700316602,,2022_10_31,0.05,10,8.6,3
2022_10_31_50mTorr_h3_860gs.txt,32.01556252,272.2247533,745355.2638,-0.105876894,0.700953709,1.602768688,48902.97608,0.700953709,,2022_10_31,0.05,3,8.6,4
2022_11_01_50mTorr_h10_032gs.txt,3.070155387,74.26451785,2390.727098,-2.126284074,0.715858804,1.480399026,1639.223691,0.715858804,,2022_11_01,0.05,10,0.32,5
2022_11_01_50mTorr_h15_860gs.txt,32.87553434,216.1509374,395518.9372,2.228921525,0.701747898,1.618650272,25325.49688,0.701747898,,2022_11_01,0.05,15,8.6,6
2022_11_01_50mTorr_h3_032gs.txt,12.55839309,83.37289494,25185.5286,-0.507644919,0.701406078,1.628475307,4220.34683,0.701406078,,2022_11_01,0.05,3,0.32,7
2022_11_01_6Torr_h10_860gs.txt,24.98699853,229.5988186,421826.7927,-7.986308424,0.700003301,1.687660187,35452.82219,0.700003301,,2022_11_01,6,10,8.6,8
2023_03_09_50mTorr_h10_860gs_crater1.txt,29.26259125,205.1278267,329527.9358,2.407227071,0.700326014,1.652610456,23673.25041,0.700326014,crater1,2023_03_09,0.05,10,8.6,9
2023_03_10_6Torr_h10_860gs_crater2.txt,24.10186258,251.8882436,457821.2411,-0.280416814,0.700007258,1.687501907,39891.25523,0.700007258,crater2,2023_03_10,6,10,8.6,10
2023_03_10_6Torr_h10_860gs_crater3.txt,25.62749451,257.5690954,504545.8858,-0.353276935,0.700009318,1.676766607,41345.2307,0.700009318,crater3,2023_03_10,6,10,8.6,11
2023_03_10_6Torr_h10_860gs_crater4.txt,27.10396862,262.0751714,476817.7826,0.284422236,0.700034152,1.651767955,36944.9829,0.700034152,crater4,2023_03_10,6,10,8.6,12
2023_03_13_6Torr_h10_860gs_crater5.txt,23.55984271,258.7758888,446603.8477,0.264603924,0.7000102,1.687404999,39809.18984,0.7000102,crater5,2023_03_13,6,10,8.6,13
2023_03_14_50mTorr_h15_860gs_crater8.txt,31.52335968,210.004429,385690.6855,1.807614811,0.701041421,1.631685029,25738.49521,0.701041421,crater8,2023_03_14,0.05,15,8.6,14
2023_03_14_50mTorr_h15_860gs_crater9.txt,31.95691213,211.389902,389398.2175,1.681424011,0.701239367,1.627472925,25638.02767,0.701239367,crater9,2023_03_14,0.05,15,8.6,15
2023_03_14_6Torr_h10_860gs_crater6.txt,26.05201392,257.8080513,481082.0005,0.438270821,0.700014862,1.669486075,38780.2695,0.700014862,crater6,2023_03_14,6,10,8.6,16
2023_03_14_6Torr_h10_860gs_crater7.txt,23.13833579,258.5100311,446585.124,0.491997549,0.700012833,1.687329646,40532.70178,0.700012833,crater7,2023_03_14,6,10,8.6,17
2023_03_15_6Torr_h3_860gs_crater10.txt,19.58733909,263.4814617,367369.1824,-0.309450785,0.700048985,1.679990432,39388.29719,0.700048985,crater10,2023_03_15,6,3,8.6,18
2023_03_15_6Torr_h3_860gs_crater11.txt,22.93547653,266.830221,459233.7829,-2.254910373,0.700014207,1.687293384,42049.30054,0.700014207,crater11,2023_03_15,6,3,8.6,19
2023_08_07_50mTorr_h10_032gs_crater8.txt,4.395225525,76.47274368,3385.237843,-2.836917249,0.716573815,1.480507429,1621.65066,0.716573815,crater8,2023_08_07,0.05,10,0.32,20
2023_08_07_50mTorr_h10_860gs_crater16.txt,30.71447703,207.4738651,350138.8228,2.25168294,0.700676677,1.637771079,23976.75792,0.700676677,crater16,2023_08_07,0.05,10,8.6,21
2023_08_07_50mTorr_h10_860gs_crater2.txt,30.85865331,207.1799189,336836.0823,2.686611242,0.700755267,1.637874838,22964.86321,0.700755267,crater2,2023_08_07,0.05,10,8.6,22
2023_08_07_50mTorr_h3_032gs_crater12.txt,13.65484271,74.32582628,23139.65834,-1.027554079,0.719000427,1.599217259,3588.61864,0.719000427,crater12,2023_08_07,0.05,3,0.32,23
2023_08_07_50mTorr_h3_860gs_crater6.txt,32.16529007,255.6469991,684377.2821,-0.541883034,0.701045528,1.602568246,44696.92565,0.701045528,crater6,2023_08_07,0.05,3,8.6,24
2023_08_07_6Torr_h10_032_crater10.txt,10.88540869,84.20363294,22030.13108,-0.380044929,0.700192276,1.634171358,4251.409528,0.700192276,crater10,2023_08_07,6,10,0.32,25
2023_08_07_6Torr_h10_860gs_crater1.txt,29.45598526,275.4143712,580094.2069,1.481696897,0.700105896,1.613883335,41358.08368,0.700105896,crater1,2023_08_07,6,10,8.6,26
2023_08_07_6Torr_h10_860gs_crater18.txt,24.59879843,257.0418948,506225.9494,1.169389149,0.700004999,1.687590765,43217.56648,0.700004999,crater18,2023_08_07,6,10,8.6,27
2023_08_07_6Torr_h3_032gs_crater14.txt,10.69896576,98.60966964,28511.53703,-0.216812621,0.700150828,1.630955759,5597.178905,0.700150828,crater14,2023_08_07,6,3,0.32,28
2023_08_07_6Torr_h3_860gs_crater4.txt,22.70711694,256.2111787,425226.8992,-1.556332164,0.700015839,1.687252565,39327.26591,0.700015839,crater4,2023_08_07,6,3,8.6,29
