File,ID,Date,Chamber Pressure (Torr),Nozzle Height (h/D),Flow Rate (g/s),Depth (mm),Diameter (mm),Volume (mm^3),Ridge Height (mm),Depth Error (mm),Diameter Error (mm),Volume Error (mm^3),Ridge Height Error (mm),Folder_Index
2022_10_25_50mTorr_h10_860gs,,2022_10_25,0.05,10,8.6,30.51728577,209.9766577,358378.82,1.934869811,0.700552368,1.635421715,24690.79742,0.700552368,1
2022_10_25_6Torr_h15_860gs,,2022_10_25,6,15,8.6,26.25659508,266.305235,498695.0088,0.368016149,0.700017994,1.666004028,39886.79358,0.700017994,2
2022_10_31_50mTorr_h10_860gs,,2022_10_31,0.05,10,8.6,29.57520498,210.4215679,339658.1509,2.449055304,0.700308793,1.642610306,24138.18591,0.700308793,3
2022_10_31_50mTorr_h3_860gs,,2022_10_31,0.05,3,8.6,32.01556252,272.1170668,745163.6465,0.063721772,0.700953709,1.602768688,48890.41061,0.700953709,4
2022_11_01_50mTorr_h10_032gs,,2022_11_01,0.05,10,0.32,3.070155387,37.16000461,976.8196453,-1.251319569,0.706744932,1.478725578,671.4966989,0.706744932,5
2022_11_01_50mTorr_h15_860gs,,2022_11_01,0.05,15,8.6,32.87553434,216.9902525,395518.9372,2.518514907,0.701762909,1.618650272,25325.96234,0.701762909,6
2022_11_01_50mTorr_h3_032gs,,2022_11_01,0.05,3,0.32,12.55839309,84.56062139,25408.44963,-0.183279186,0.701255433,1.628111568,4256.745025,0.701255433,7
2022_11_01_6Torr_h10_860gs,,2022_11_01,6,10,8.6,24.98699853,239.6334204,451064.5846,-7.807235277,0.700003519,1.687660187,37910.26702,0.700003519,8
2023_03_09_50mTorr_h10_860gs_crater1,crater1,2023_03_09,0.05,10,8.6,29.26259125,205.1961707,329527.9358,2.699585347,0.700326029,1.652610456,23673.26134,0.700326029,9
2023_03_10_6Torr_h10_860gs_crater2,crater2,2023_03_10,6,10,8.6,24.10186258,253.4351411,457905.1223,-4.151841904,0.700007258,1.687501907,39898.56359,0.700007258,10
2023_03_10_6Torr_h10_860gs_crater3,crater3,2023_03_10,6,10,8.6,25.62749451,256.5838599,502986.2635,-0.815978874,0.700009318,1.676766607,41217.43361,0.700009318,11
2023_03_10_6Torr_h10_860gs_crater4,crater4,2023_03_10,6,10,8.6,27.10396862,259.3039717,476514.8402,-0.794310182,0.700034152,1.651767955,36921.512,0.700034152,12
2023_03_13_6Torr_h10_860gs_crater5,crater5,2023_03_13,6,10,8.6,23.55984271,258.90275,446603.8477,0.582979392,0.7000102,1.687404999,39809.18984,0.7000102,13
2023_03_14_50mTorr_h15_860gs_crater8,crater8,2023_03_14,0.05,15,8.6,31.52335968,211.1259123,385690.6855,2.161035578,0.701056939,1.631685029,25739.02554,0.701056939,14
2023_03_14_50mTorr_h15_860gs_crater9,crater9,2023_03_14,0.05,15,8.6,31.95691213,212.5542995,389398.2175,2.022671907,0.701256937,1.627472925,25638.60622,0.701256937,15
2023_03_14_6Torr_h10_860gs_crater6,crater6,2023_03_14,6,10,8.6,26.05201392,259.9917221,481686.0165,-0.104229503,0.700014862,1.669486075,38828.95646,0.700014862,16
2023_03_14_6Torr_h10_860gs_crater7,crater7,2023_03_14,6,10,8.6,23.13833579,260.8381788,446585.124,0.656723277,0.700012833,1.687329646,40532.70179,0.700012833,17
2023_03_15_6Torr_h3_860gs_crater10,crater10,2023_03_15,6,3,8.6,19.58733909,264.8990599,368991.7721,-0.577708462,0.700048985,1.679990432,39562.25023,0.700048985,18
2023_03_15_6Torr_h3_860gs_crater11,crater11,2023_03_15,6,3,8.6,22.93547653,266.7331052,459044.2051,-0.745693187,0.700014207,1.687293384,42031.9431,0.700014207,19
2023_08_07_50mTorr_h10_032gs_crater8,crater8,2023_08_07,0.05,10,0.32,4.395225525,38.2990381,1544.32122,-1.860450252,0.706744932,1.478725578,740.8958269,0.706744932,20
2023_08_07_50mTorr_h10_860gs_crater16,crater16,2023_08_07,0.05,10,8.6,30.71447703,209.4590758,350138.8228,2.659003194,0.700652273,1.635684313,23974.40804,0.700652273,21
2023_08_07_50mTorr_h10_860gs_crater2,crater2,2023_08_07,0.05,10,8.6,30.85865331,208.6244175,336836.0823,3.039176509,0.700736455,1.636355463,22962.98804,0.700736455,22
2023_08_07_50mTorr_h3_032gs_crater12,crater12,2023_08_07,0.05,3,0.32,13.65484271,75.96136441,23693.57264,-0.654601577,0.71320982,1.606695076,3671.292142,0.71320982,23
2023_08_07_50mTorr_h3_860gs_crater6,crater6,2023_08_07,0.05,3,8.6,32.16529007,255.6113029,684300.2958,-0.32115983,0.701045528,1.602568246,44691.90112,0.701045528,24
2023_08_07_6Torr_h10_032_crater10,crater10,2023_08_07,6,10,0.32,10.88540869,85.02060463,22195.1326,-0.154469467,0.700154848,1.633918682,4283.017633,0.700154848,25
2023_08_07_6Torr_h10_860gs_crater1,crater1,2023_08_07,6,10,8.6,29.45598526,273.1212205,578582.3833,-2.299947762,0.700105896,1.613883335,41250.30554,0.700105896,26
2023_08_07_6Torr_h10_860gs_crater18,crater18,2023_08_07,6,10,8.6,24.59879843,257.3235107,506731.2775,1.348700135,0.700004999,1.687590765,43260.70531,0.700004999,27
2023_08_07_6Torr_h3_032gs_crater14,crater14,2023_08_07,6,3,0.32,10.69896576,99.84121361,28725.293,-0.012595374,0.700158607,1.630630167,5639.171406,0.700158607,28
2023_08_07_6Torr_h3_860gs_crater4,crater4,2023_08_07,6,3,8.6,22.70711694,256.1401134,425126.9602,-1.682362525,0.700015839,1.687252565,39318.02369,0.700015839,29
