ID,Date,Chamber Pressure (mTorr),Nozzle Height (h/D),Flow rate (gs),Duration (s),Depth (mm),Diameter (mm),Volume (mm^3),Ridge Height (mm),Depth Error (mm),Diameter Error (mm),Volume error (mm^3),Ridge Height Error (mm)
1,3/9/2023,50,10,8.6,1,29.26259124,203.3782298,329527.9352,2.491275942,7.00E-01,2.00E+00,2.00E+04,7.00E-01
2,3/10/2023,6000,10,8.6,1,24.10186178,229.1474575,407435.2374,-5.582721437,7.00E-01,2.00E+00,4.00E+04,7.00E-01
3,3/10/2023,6000,10,8.6,1,25.62749479,222.3685991,397424.1763,-7.568315756,7.00E-01,2.00E+00,3.00E+04,7.00E-01
4,3/10/2023,6000,10,8.6,1,27.1039683,240.8024549,450350.0716,-1.817035058,7.00E-01,2.00E+00,3.00E+04,7.00E-01
5,3/13/2023,6000,10,8.6,1,23.55984302,236.0453726,409822.2139,-2.645508983,7.00E-01,2.00E+00,4.00E+04,7.00E-01
6,3/14/2023,6000,10,8.6,1,26.0520143,228.8211736,412850.1127,-4.55525456,7.00E-01,2.00E+00,3.00E+04,7.00E-01
7,3/14/2023,6000,10,8.6,1,23.1383351,247.9336141,437415.4165,-1.268153129,7.00E-01,2.00E+00,4.00E+04,7.00E-01
8,3/14/2023,50,15,8.6,1,31.5233608,207.2499339,385260.6102,1.911070101,7.00E-01,2.00E+00,3.00E+04,7.00E-01
9,3/14/2023,50,15,8.6,1,31.95691106,208.247425,389398.2075,1.73511571,7.00E-01,2.00E+00,3.00E+04,7.00E-01
10,3/15/2023,6000,3,8.6,1,19.5873386,234.1349374,315323.1083,-4.021077335,7.00E-01,2.00E+00,3.00E+04,7.00E-01
11,3/15/2023,6000,3,8.6,1,22.93547612,251.9090178,416852.1445,-5.148416342,7.00E-01,2.00E+00,4.00E+04,7.00E-01
12,3/16/2023,107,15,8.6,1,31.78354526,212.7086936,393137.0338,2.28889722,7.00E-01,2.00E+00,3.00E+04,7.00E-01
,10/25/2022,6000,15,8.6,1,26.2565944,258.0576097,489362.8858,-1.268248894,7.00E-01,2.00E+00,3.00E+04,7.00E-01
,10/25/2022,50,10,8.6,1,30.51728416,206.0641989,358378.8038,1.670410795,7.00E-01,2.00E+00,3.00E+04,7.00E-01
,10/31/2022,50,3,8.6,1,32.01556246,268.7146104,737218.5182,-0.296594786,7.00E-01,2.00E+00,5.00E+04,7.00E-01
,10/31/2022,50,10,8.6,1,29.57520434,204.1852369,339658.1436,0.875550572,7.00E-01,2.00E+00,2.00E+04,7.00E-01
,11/1/2022,6000,10,8.6,1,24.98699887,226.0472795,410378.0578,-8.376907476,7.00E-01,2.00E+00,3.00E+04,7.00E-01
,11/1/2022,50,3,0.32,1,12.55839338,78.38774639,23241.9468,-0.781181827,7.00E-01,2.00E+00,4.00E+03,7.00E-01
,11/1/2022,50,10,0.32,1,3.07015546,69.07845373,1855.499861,-2.149632851,7.00E-01,1.00E+00,1.00E+03,7.00E-01
,11/1/2022,50,15,8.6,1,32.87553496,213.0702175,395442.6872,1.978187882,7.00E-01,2.00E+00,3.00E+04,7.00E-01
8,8/7/2023,50,10,0.32,1,4.395225357,76.17883195,3334.475872,-2.612178122,7.00E-01,1.00E+00,2.00E+03,7.00E-01
16,8/7/2023,50,10,8.6,1,30.71447714,206.4724124,350138.8232,2.558727013,7.00E-01,2.00E+00,2.00E+04,7.00E-01
2,8/7/2023,50,10,8.6,1,30.85865242,215.8470122,336836.0743,2.475533465,7.00E-01,2.00E+00,2.00E+04,7.00E-01
12,8/7/2023,50,3,0.32,1,13.65484256,65.9266134,19382.09629,-2.114691739,7.00E-01,2.00E+00,3.00E+03,7.00E-01
6,8/7/2023,50,3,8.6,1,32.16529028,251.6991801,671859.3745,-0.663285586,7.00E-01,2.00E+00,4.00E+04,7.00E-01
10,8/7/2023,6000,10,0.32,1,10.88540883,80.06917243,20819.28066,-0.507891341,7.00E-01,2.00E+00,4.00E+03,7.00E-01
1,8/7/2023,6000,10,8.6,1,29.45598361,242.4144894,510212.9822,-4.806024435,7.00E-01,2.00E+00,4.00E+04,7.00E-01
18,8/7/2023,6000,10,8.6,1,24.5987987,254.0170619,500919.1733,1.169655225,7.00E-01,2.00E+00,4.00E+04,7.00E-01
14,8/7/2023,6000,3,0.32,1,10.69896611,93.72913542,27015.22808,-0.395015878,7.00E-01,2.00E+00,5.00E+03,7.00E-01
4,8/7/2023,6000,3,8.6,1,22.70711781,239.5348831,381223.0598,-5.108583724,7.00E-01,2.00E+00,4.00E+04,7.00E-01
