ID,Date,Chamber Pressure (mTorr),Tank Pressure (psi),Nozzle Height (h/D),Flow rate (gs),Duration (s),Depth (mm),Diameter (mm),Volume (mm^3),Ridge Height (mm),Depth Error (mm),Diameter Error (mm),Volume error (mm^3),Ridge Height Error (mm)
1,3/9/2023,50,168,10,8.6,1,29.26259124,203.3782298,391791.5137,2.491275942,7.E-01,2.E+00,3.E+04,7.E-01
2,3/10/2023,6000,168,10,8.6,1,24.10186178,229.1474575,244435.2651,-5.582721437,7.E-01,2.E+00,2.E+04,7.E-01
3,3/10/2023,6000,168,10,8.6,1,25.62749479,222.3685991,222302.1539,-7.568315756,7.E-01,2.E+00,2.E+04,7.E-01
4,3/10/2023,6000,168,10,8.6,1,27.1039683,240.8024549,394713.263,-1.817035058,7.E-01,2.E+00,3.E+04,7.E-01
5,3/13/2023,6000,168,10,8.6,1,23.55984302,236.0453726,332067.355,-2.645508983,7.E-01,2.E+00,3.E+04,7.E-01
6,3/14/2023,6000,168,10,8.6,1,26.0520143,228.8211736,294327.3845,-4.55525456,7.E-01,2.E+00,2.E+04,7.E-01
7,3/14/2023,6000,168,10,8.6,1,23.1383351,247.9336141,387680.8341,-1.268153129,7.E-01,2.E+00,4.E+04,7.E-01
8,3/14/2023,50,168,15,8.6,1,31.5233608,207.2499339,430986.8364,1.911070101,7.E-01,2.E+00,3.E+04,7.E-01
9,3/14/2023,50,168,15,8.6,1,31.95691106,208.247425,434789.5505,1.73511571,7.E-01,2.E+00,3.E+04,7.E-01
10,3/15/2023,6000,168,3,8.6,1,19.5873386,234.1349374,206191.7566,-4.021077335,7.E-01,2.E+00,2.E+04,7.E-01
11,3/15/2023,6000,168,3,8.6,1,22.93547612,251.9090178,244899.7702,-5.148416342,7.E-01,2.E+00,2.E+04,7.E-01
12,3/16/2023,107,168,15,8.6,1,31.78354526,212.7086936,455876.8818,2.28889722,7.E-01,2.E+00,3.E+04,7.E-01
,10/25/2022,6000,168,15,8.6,0.3,26.2565944,258.0576097,439836.1071,-1.268248894,7.E-01,2.E+00,4.E+04,7.E-01
,10/25/2022,50,168,10,8.6,1,30.51728416,206.0641989,401809.7151,1.670410795,7.E-01,2.E+00,3.E+04,7.E-01
,10/31/2022,50,168,3,8.6,1,32.01556246,268.7146104,726313.8582,-0.296594786,7.E-01,2.E+00,5.E+04,7.E-01
,10/31/2022,50,168,10,8.6,1,29.57520434,204.1852369,365324.9193,0.875550572,7.E-01,2.E+00,3.E+04,7.E-01
,11/1/2022,6000,168,10,8.6,1,24.98699887,226.0472795,204469.7617,-8.376907476,7.E-01,2.E+00,2.E+04,7.E-01
,11/1/2022,50,168,3,0.32,1,12.55839338,78.38774639,21559.00592,-0.781181827,7.E-01,2.E+00,4.E+03,7.E-01
,11/1/2022,50,168,10,0.32,1,3.07015546,69.07845373,537.8258567,-2.149632851,7.E-01,1.E+00,4.E+02,7.E-01
,11/1/2022,50,168,15,8.6,1,32.87553496,213.0702175,445411.8759,1.978187882,7.E-01,2.E+00,3.E+04,7.E-01
