File,ID,Date,Chamber Pressure (Torr),Nozzle Height (h/D),Flow Rate (g/s),Depth (mm),Diameter (mm),Volume (mm^3),Ridge Height (mm),Depth Error (mm),Diamter Error (mm),Volume Error (mm^3),Ridge Height Error (mm),,,,,,,,,,
2022_10_25_50mTorr_h10_860gs,,2022_10_25,0.05,10,8.6,30.51728577,208.9921177,358378.82,1.628968637,7.00E-01,2.00E+00,2.00E+04,7.00E-01,,30.51728577,206.0641989,358378.82,1.670409245,,0,2.9279188,0,-0.041440608
2022_10_25_6Torr_h15_860gs,,2022_10_25,6,15,8.6,26.25659508,264.5346118,497269.2883,0.199781314,7.00E-01,2.00E+00,4.00E+04,7.00E-01,,26.25659508,258.0576097,489362.8971,-1.268249554,,0,6.4770021,7906.3912,1.468030868
2022_10_31_50mTorr_h10_860gs,,2022_10_31,0.05,10,8.6,29.57520498,209.4959207,339658.1509,2.198690934,7.00E-01,2.00E+00,2.00E+04,7.00E-01,,29.57520498,204.1852369,339658.1509,0.875549912,,0,5.3106838,0,1.323141022
2022_10_31_50mTorr_h3_860gs,,2022_10_31,0.05,3,8.6,32.01556252,272.2247533,745355.2638,-0.105876894,7.00E-01,2.00E+00,5.00E+04,7.00E-01,,32.01556252,268.7146104,737218.5186,-0.29659488,,0,3.5101429,8136.7452,0.190717986
2022_11_01_50mTorr_h10_032gs,,2022_11_01,0.05,10,0.32,3.070155387,74.26451785,2390.727098,-2.126284074,7.00E-01,1.00E+00,2.00E+03,7.00E-01,,3.070155387,69.07845373,1855.499843,-2.149632773,,0,5.18606412,535.227255,0.023348699
2022_11_01_50mTorr_h15_860gs,,2022_11_01,0.05,15,8.6,32.87553434,216.1509374,395518.9372,2.228921525,7.00E-01,2.00E+00,3.00E+04,7.00E-01,,32.87553434,213.0702175,395442.6792,1.978188497,,0,3.0807199,76.258,0.250733028
2022_11_01_50mTorr_h3_032gs,,2022_11_01,0.05,3,0.32,12.55839309,83.37289494,25185.5286,-0.507644919,7.00E-01,2.00E+00,4.00E+03,7.00E-01,,12.55839309,78.38774639,23241.94622,-0.781181559,,0,4.98514855,1943.58238,0.27353664
2022_11_01_6Torr_h10_860gs,,2022_11_01,6,10,8.6,24.98699853,229.5988186,421826.7927,-7.986308424,7.00E-01,2.00E+00,4.00E+04,7.00E-01,,24.98699853,226.0472795,410378.0532,-8.376907098,,0,3.5515391,11448.7395,0.390598674
2023_03_09_50mTorr_h10_860gs_crater1,crater1,2023_03_09,0.05,10,8.6,29.26259125,205.1278267,329527.9358,2.407227071,7.00E-01,2.00E+00,2.00E+04,7.00E-01,,29.26259125,203.3782298,329527.9358,2.491275909,,0,1.7495969,0,-0.084048838
2023_03_10_6Torr_h10_860gs_crater2,crater2,2023_03_10,6,10,8.6,24.10186258,251.8882436,457821.2411,-0.280416814,7.00E-01,2.00E+00,4.00E+04,7.00E-01,,24.10186258,229.1474575,407435.2478,-5.582722259,,0,22.7407861,50385.9933,5.302305445
