File,ID,Date,Chamber Pressure (Torr),Nozzle Height (h/D),Flow Rate (g/s),Depth (mm),Diameter (mm),Volume (mm^3),Ridge Height (mm),Depth Error (mm),Diameter Error (mm),Volume error (mm^3),Ridge Height Error (mm),Folder_Index
2022_10_25_50mTorr_h10_860gs,,2022_10_25,0.05,10,8.6,30.51728577,206.0641989,358378.82,1.670409245,7.E-01,2.E+00,2.E+04,7.E-01,1
2022_10_25_6Torr_h15_860gs,,2022_10_25,6,15,8.6,26.25659508,258.0576097,489362.8971,-1.268249554,7.E-01,2.E+00,4.E+04,7.E-01,2
2022_10_31_50mTorr_h10_860gs,,2022_10_31,0.05,10,8.6,29.57520498,204.1852369,339658.1509,0.875549912,7.E-01,2.E+00,2.E+04,7.E-01,3
2022_10_31_50mTorr_h3_860gs,,2022_10_31,0.05,3,8.6,32.01556252,268.7146104,737218.5186,-0.29659488,7.E-01,2.E+00,5.E+04,7.E-01,4
2022_11_01_50mTorr_h10_032gs,,2022_11_01,0.05,10,0.32,3.070155387,69.07845373,1855.499843,-2.149632773,7.E-01,1.E+00,1.E+03,7.E-01,5
2022_11_01_50mTorr_h15_860gs,,2022_11_01,0.05,15,8.6,32.87553434,213.0702175,395442.6792,1.978188497,7.E-01,2.E+00,3.E+04,7.E-01,6
2022_11_01_50mTorr_h3_032gs,,2022_11_01,0.05,3,0.32,12.55839309,78.38774639,23241.94622,-0.781181559,7.E-01,2.E+00,4.E+03,7.E-01,7
2022_11_01_6Torr_h10_860gs,,2022_11_01,6,10,8.6,24.98699853,226.0472795,410378.0532,-8.376907098,7.E-01,2.E+00,3.E+04,7.E-01,8
2023_03_09_50mTorr_h10_860gs_crater1,crater1,2023_03_09,0.05,10,8.6,29.26259125,203.3782298,329527.9358,2.491275909,7.E-01,2.E+00,2.E+04,7.E-01,9
2023_03_10_6Torr_h10_860gs_crater2,crater2,2023_03_10,6,10,8.6,24.10186258,229.1474575,407435.2478,-5.582722259,7.E-01,2.E+00,4.E+04,7.E-01,10
2023_03_10_6Torr_h10_860gs_crater3,crater3,2023_03_10,6,10,8.6,25.62749451,222.3685991,397424.1725,-7.568315476,7.E-01,2.E+00,3.E+04,7.E-01,11
2023_03_10_6Torr_h10_860gs_crater4,crater4,2023_03_10,6,10,8.6,27.10396862,240.8024549,450350.0769,-1.817035414,7.E-01,2.E+00,3.E+04,7.E-01,12
2023_03_13_6Torr_h10_860gs_crater5,crater5,2023_03_13,6,10,8.6,23.55984271,236.0453726,409822.21,-2.645508635,7.E-01,2.E+00,4.E+04,7.E-01,13
2023_03_14_50mTorr_h15_860gs_crater8,crater8,2023_03_14,0.05,15,8.6,31.52335968,207.2499339,385260.5991,1.911071282,7.E-01,2.E+00,3.E+04,7.E-01,14
2023_03_14_50mTorr_h15_860gs_crater9,crater9,2023_03_14,0.05,15,8.6,31.95691213,208.247425,389398.2175,1.735114583,7.E-01,2.E+00,3.E+04,7.E-01,15
2023_03_14_6Torr_h10_860gs_crater6,crater6,2023_03_14,6,10,8.6,26.05201392,228.8211736,412850.1075,-4.555254207,7.E-01,2.E+00,3.E+04,7.E-01,16
2023_03_14_6Torr_h10_860gs_crater7,crater7,2023_03_14,6,10,8.6,23.13833579,247.9336141,437415.4274,-1.268153833,7.E-01,2.E+00,4.E+04,7.E-01,17
2023_03_15_6Torr_h3_860gs_crater10,crater10,2023_03_15,6,3,8.6,19.58733909,234.1349374,315323.116,-4.021077817,7.E-01,2.E+00,3.E+04,7.E-01,18
2023_03_15_6Torr_h3_860gs_crater11,crater11,2023_03_15,6,3,8.6,22.93547653,251.9090178,416852.1507,-5.148416763,7.E-01,2.E+00,4.E+04,7.E-01,19
2023_08_07_50mTorr_h10_032gs_crater8,crater8,2023_08_07,0.05,10,0.32,4.395225525,76.17883195,3334.476028,-2.612178291,7.E-01,1.E+00,2.E+03,7.E-01,20
2023_08_07_50mTorr_h10_860gs_crater16,crater16,2023_08_07,0.05,10,8.6,30.71447703,206.4724124,350138.8228,2.558727151,7.E-01,2.E+00,2.E+04,7.E-01,21
2023_08_07_50mTorr_h10_860gs_crater2,crater2,2023_08_07,0.05,10,8.6,30.85865331,215.8470122,336836.0823,2.475532603,7.E-01,2.E+00,2.E+04,7.E-01,22
2023_08_07_50mTorr_h3_032gs_crater12,crater12,2023_08_07,0.05,3,0.32,13.65484271,65.9266134,19382.09641,-2.114691875,7.E-01,2.E+00,3.E+03,7.E-01,23
2023_08_07_50mTorr_h3_860gs_crater6,crater6,2023_08_07,0.05,3,8.6,32.16529007,251.6991801,671859.3728,-0.663285401,7.E-01,2.E+00,4.E+04,7.E-01,24
2023_08_07_6Torr_h10_032_crater10,crater10,2023_08_07,6,10,0.32,10.88540869,80.06917243,20819.28049,-0.507891168,7.E-01,2.E+00,4.E+03,7.E-01,25
2023_08_07_6Torr_h10_860gs_crater1,crater1,2023_08_07,6,10,8.6,29.45598526,242.4144894,510213.0085,-4.806026075,7.E-01,2.E+00,4.E+04,7.E-01,26
2023_08_07_6Torr_h10_860gs_crater18,crater18,2023_08_07,6,10,8.6,24.59879843,254.0170619,500919.1684,1.169655516,7.E-01,2.E+00,4.E+04,7.E-01,27
2023_08_07_6Torr_h3_032gs_crater14,crater14,2023_08_07,6,3,0.32,10.69896576,93.72913542,27015.22719,-0.395015535,7.E-01,2.E+00,5.E+03,7.E-01,28
2023_08_07_6Torr_h3_860gs_crater4,crater4,2023_08_07,6,3,8.6,22.70711694,239.5348831,381223.0462,-5.108582915,7.E-01,2.E+00,4.E+04,7.E-01,29
